País,Año,N° de ley,Tipo,Extracto,Link,Fecha de sanción,¿Modifica otra ley?,¿Cuál?,¿Sigue vigente?,Fecha de derogación o modificación,¿Criminaliza la expresión?,¿Elimina criminalización?,¿Impone una sanción civil?,¿Elimina una sanción civil?,¿Impone barreras adicionales para la expresión?,¿Regula contenido en Internet?,¿Distingue la expresión online de la offline?,¿Regula intermediarios en Internet?,¿Apoyo de la sociedad civil?,¿Limita o promueve el discurso?,Objetivo legítimo,Legalidad,Necesidad,Proporcionalidad,¿Cumple con todos los elementos del test?,Objetivo legítimo (2),Objetivo legítimo (3),Análisis del test tripartito
Argentina,2014,26994,,Nuevo Código Civil y Comercial de la Nación. Modificación de la norma que regula el derecho a la imagen y voz como un derecho personalísimo (artículo 53) y disposición de derechos personalísimos (artículo 55). Derecho a recibir reparación por daños sufridos (artículo 52).,http://servicios.infoleg.gob.ar/infolegInternet/anexos/235000-239999/235975/norma.htm,2014-10-01,SI,,SI,,NO,NO,SI,NO,SI,NO,NO,NO,SI,Limita,Honor y reputación,SI,SI,SI,SI,,,
Argentina,2014,26994,,Nuevo Código Civil y Comercial de la Nación. Modificación de la norma que regula la protección de la vida privada (artículo 1.770).,http://servicios.infoleg.gob.ar/infolegInternet/anexos/235000-239999/235975/norma.htm#23,2014-10-01,SI,,SI,,NO,NO,SI,NO,SI,NO,NO,NO,,Limita,Privacidad y Derechos ARCO,NO,SI,SI,NO,Privacidad,,
Argentina,2014,27078,,Tecnologías de la Información y las Comunicaciones.,http://servicios.infoleg.gob.ar/infolegInternet/anexos/235000-239999/239771/norma.htm,2014-12-16,NO,,SI,,NO,NO,NO,NO,NO,SI,NO,NO,SI,Promueve,Acceso a internet e Infraestructura,,,,,Neutralidad de la Red,,
Brasil,2014,12.965/2014,Ley,"Estabelece princípios, garantias, direitos e deveres para o uso da internet no Brasil - conhecida como ""Marco Civil da Internet"" (MCI). O art. 2ºda lei coloca a liberdade de expressão como um dos princípios basilares do uso da internet no Brasil. A lei estabelece regime de responsabilização de intermediários (art. 19) que progede a liberdade de expressão do usuário, ao estabelecer que intermediários podem ser responsabilizados por conteúdos de terceiro apenas quando não agem na remoção daquele conteúdo após notificaçao judicial solicitando essa remoção (regra geral).",https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2014/lei/l12965.htm,2014-04-23,NO,,SI,,NO,NO,SI,NO,NO,SI,SI,SI,SI,Limita,Moderación de Contenidos y responsabilidad de intermediarios,SI,SI,SI,SI,Responsabilidad de intermediarios,Libertad de expresión,"O MCI tem um papel de grande relevância na garantia da liberdade de expressão do usuário na rede ao estabelecer o regime de responsabilidade de intermediários no país. Contudo, alguns outros dispositivos poderiam ser interpretados como restrições à liberdade da expressão, como é o caso do art. 29, que estabelece a possibilidade de uso de programa para controle do conteúdo acessado por filhos menores, ou mesmo da obrigação de guarda dos registros de conexão e de acesso a aplicações - a qual facilita a identificação de usuários anônimos na rede."
Brasil,2014,12.966/2014,Ley,"Inclui a proteção à honra e à dignidade de grupos raciais, étnicos ou religiosos na Lei da Ação Civil Pública (Lei nº 7.347/1985)",https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2014/lei/l12966.htm,2014-04-24,SI,Ley nº 7.347/1985,SI,,NO,NO,NO,NO,SI,SI,NO,NO,SI,Limita,"Discriminación, violencia y discursos de odio",SI,SI,SI,SI,Igualdad y no discriminación,,
Chile,2014,Ley Nº20.750,Mensaje,"Ley que permite la introducción de los servicios de televisión digital terrestre de libre recepción, sus caraccterísticas técnicas y operativas, define y regula los procedimientos de concesión para la radiodifusión de señales televisivas digitales. También modifica las funciones del Consejo Nacional de Televisión sobre el tema. Establece el proceso de migración de televisión analógica a digital. Establece Reserva de Frecuencias para Concesión a Concesionarios Regionales y Comunitarios.",https://www.leychile.cl/Navegar?idNorma=1060307&buscar=television+digital,2014-05-22,SI,Nº18.838,SI,,,,,,NO,,,,NO,Limita,Libertad de Expresión y Derechos políticos,SI,SI,SI,SI,Libertad de expresión,,Es importante consignar que a la fecha un tema pendiente o no lo suficientemente resuelto es el funcionamiento que tendrán las televisoras comunitarias que han logrado tener concesiones para transmitir en este sistema. Actualmente el debate se refiere a la falta de fuentes de financiamiento que permita a las televisoras comunitarias llevar a cabo tanto el plan técnico como la propuesta de contenidos.
Colombia,2014,1712,Ley estatutaria,EXPIDE LA LEY DE TRANSPARENCIA Y Acceso a la información. LA LEY ESTABLECE EL PRINCIPIO DE MÁXIMA PUBLICIDAD Y OTROS PRINCIPIOS DE TRANSPARENCIA Y ACCESO A LA INFORMACIÓN Y ESTABLECE REGLAS DE TRANSPARENCIA ACTIVA Y PASIVA PARA EJERCER Y GARANTIZAR ESTE DERECHO.,http://www.secretariasenado.gov.co/senado/basedoc/ley_1712_2014.html,2014-03-06,NO,,SI,,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Seguridad Nacional,SI,SI,SI,SI,,,
Colombia,2014,1712,Ley estatutaria,"EXPIDE LA LEY DE TRANSPARENCIA Y ACCESO A LA INFORMACIÓN PÚBLICA. EL TÍTULO III SE REFIERE A LAS EXCEPCIONES DEL DERECHO DE ACCESO A LA INFORMACIÓN. ADEMÁS, EL ARTÍCULO 28 ESTABLECE QUE LA CARGA JUSTIFICATORIA Y PROBATORIA EN CABEZA DEL SUJETO OBLIGADO QUE PRETENDA COBIJARSE EN UNA EXCEPCIÓN PARA NO CONCEDER ACCESO.",http://www.secretariasenado.gov.co/senado/basedoc/ley_1712_2014.html,2014-03-06,NO,,SI,,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Seguridad Nacional,SI,SI,SI,SI,,,
Colombia,2014,1712,Ley estatutaria,"EXPIDE LA LEY DE TRANSPARENCIA Y ACCESO A LA INFORMACIÓN PÚBLICA. EL NUMERAL K DEL ARTÍCULO 6 ESTABLECE QUE NO SERÁ CONSIDERADA INFORMACIÓN PÚBLICA LOS DOCUMENTOS EN CONSTRUCCIÓN, ES DECIR, INFORMACIÓN PRELIMINAR NO DEFINITIVA.",http://www.secretariasenado.gov.co/senado/basedoc/ley_1712_2014.html,2014-03-06,NO,,SI,,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Seguridad Nacional,SI,SI,SI,SI,,,TENEMOS DERECHO A SABER CÓMO AVANZAN LOS PROCESOS DE DELIBERACIÓN. NO HAY JUSTIFICACIÓN PARA UNA EXCLUSIÓN ABSOLUTA A PUNTO TAL QUE NI SIQUIERA LO CONSIDERA INFORMACIÓN PÚBLICA. SENTENCIA CORTE CONSTITUCIONAL MODULÓ ESTO. NO ES PROPORCIONAL. HAY OTRAS SALIDAS.
Ecuador,2014,Reglamento General para la Ley Orgánica de Comunicación,Reglamento,"El reglamento extiende a los medios de comunicación aquellos que operen sobre la plataforma de internet, cuya personería jurídica haya sido obtenida en Ecuador y que distribuyan contenidos informativos y de opinión (Art. 3)",Reglamento General a la Ley Orgánica de Comunicación,2014-01-27,SI,,SI,2017-06-13,NO,NO,SI,NO,SI,SI,SI,SI,NO,Limita,Honor y reputación,NO,SI,NO,NO,,,
Ecuador,2014,Código Orgánico Integral Penal,Ley orgánica,Se analizan: [1] Art. 182: Caluminas por falsa de imputación de un delito; [2] Art. 176: Delito de discriminación; [3] Art. 177: Delitos de odio; [4] Art. 396.1: Contravención por expresiones de descrédito o deshonra; [5] Art. 366: Delito de terrorismo,http://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/c5de1907-b2b8-4ee2-83ca-122fb7c57c62/Registro%20Oficial%20N%B0%20180%20C%F3digo%20Org%E1nico%20Integral%20Penal.pdf,2014-02-10,SI,,SI,2017-07-04,SI,SI,NO,SI,SI,SI,SI,NO,,Limita,Honor y reputación,SI,SI,NO,NO,,,
México,2014,CPF,,Instigar a cometer actos de terrorismo,"http://www.dof.gob.mx/nota_detalle.php?codigo=4992021&fecha=28/06/2007, http://www.dof.gob.mx/nota_detalle.php?codigo=4992021&fecha=28/06/2007 http://www.dof.gob.mx/nota_detalle.php?codigo=5337124&fecha=14/03/2014 http://legislacion.scjn.gob.mx/Buscador/Paginas/AbrirDocArticulo.aspx?q=9kasjIjnGyd4TgPCcahnJu4pfyMzBgbG""&""RlM0zp7HSaJhIOwbwHS0ffwmi1xCePEd+lGfxOctQQvNZKfLC1eJug=="")",2014-03-04,NO,,SI,,SI,NO,NO,NO,NO,NO,NO,NO,NO,Limita,Seguridad nacional,NO,SI,NO,NO,,,
México,2014,LFPED,,Nuevas cateforías de discriminación,http://dof.gob.mx/nota_detalle.php?codigo=5337623&fecha=20/03/2014,2014-03-20,SI,,SI,,NO,NO,SI,NO,SI,SI,SI,SI,SI,Limita,"Discriminación, violencia y discursos de odio",NO,SI,SI,NO,Igualdad y no discriminación,,
México,2014,LGPSDS,,Es un delito por el que se busca inhibir la divulgación o filtración de información reservada o confidencial en materia de prevención y sanción del secuestro.,http://www.dof.gob.mx/nota_detalle.php?codigo=5347045&fecha=03/06/2014         http://www.diputados.gob.mx/LeyesBiblio/pdf/LGPSDMS_170616.pdf,2014-06-03,NO,,SI,,SI,NO,NO,NO,NO,NO,NO,NO,NO,Limita,Honor y reputación,NO,SI,NO,SI,,,
México,2014,LFTR,,Esta ley busca regular aspectos de telecomunicaciones incluyendo a los intermediarios dei internet. A,http://www.diputados.gob.mx/LeyesBiblio/pdf/LFTR_270117.pdf,2014-07-14,SI,,SI,,NO,NO,SI,NO,NO,NO,NO,SI,NO,Promueve,"Discriminación, violencia y discursos de odio",SI,SI,SI,SI,Igualdad y no discriminación,,
Paraguay,2014,5189,Ley ordinaria,ESTABLECE LA OBLIGATORIEDAD DE LA PROVISIÓN DE INFORMACIONES EN EL USO DE LOS RECURSOS PÚBLICOS SOBRE REMUNERACIONES Y OTRAS RETRIBUCIONES ASIGNADAS AL SERVIDOR PÚBLICO DE LA REPÚBLICA DEL PARAGUAY,http://www.pj.gov.py/descargas/ID1-576_ley_5189_14.pdf,2014-05-08,NO,,SI,,,,,,,,,,SI,Promueve,Acceso a la información,SI,SI,SI,SI,,,
Paraguay,2014,5241,Ley ordinaria,CREA EL SISTEMA NACIONAL DE INTELIGENCIA,http://silpy.congreso.gov.py/ley/136242,2014-08-20,NO,,SI,,NO,NO,NO,NO,NO,NO,NO,NO,,Limita,Seguridad nacional,SI,SI,NO,NO,,,
Paraguay,2014,5282,Ley ordinaria,"REGLAMENTA EL ARTÍCULO 28 DE LA CONSTITUCIÓN NACIONAL, A FIN DE GARANTIZAR A TODAS LAS PERSONAS, EL EFECTIVO EJERCICIO DEL DERECHO AL ACCESO A LA INFORMACIÓN PÚBLICA, A TRAVÉS DE LA IMPLEMENTACIÓN DE LAS MODALIDADES, PLAZOS, EXCEPCIONES Y SANCIONES CORRESPONDIENTES, QUE PROMUEVAN LA TRASPARENCIA DEL ESTADO.",http://www.bacn.gov.py/archivos/3013/20150224093030.pdf,2014-09-18,NO,,SI,,NO,NO,NO,NO,NO,NO,NO,NO,SI,Promueve,Acceso a la información,SI,SI,SI,SI,,,
Perú,2014,Ley No. 30171,,"Se modifica el tipo de penal de la discriminación para incluir también la incitación a la discriminación. Se modifica la agravante para señalar que esta se produce cuando la discriminación se materializa ""mediante actos de violencia física o mental o a través de internet u otro medio análogo"".",http://spij.minjus.gob.pe/CLP/contenidos.dll/CLPlegcargen/coleccion00000.htm/tomo00433.htm/a%C3%B1o410593.htm/mes414349.htm/dia415117.htm/sector415118.htm/sumilla415120.htm,2014-03-10,SI,,SI,42741,SI,NO,NO,NO,SI,SI,SI,NO,,Limita,Ciberseguridad,SI,NO,NO,NO,Delitos informáticos,Protección de menores,
Perú,2014,Ley No. 30254,,"Dispuso la creación de una comisión especial encargada de “proponer y definir lineamientos para promover el uso seguro y responsable de las TIC en el país”, con énfasis en los menores de edad, y establece la obligación de los proveedores de servicios de internet de ofrecer filtros para el bloqueo de páginas de contenido violento o pornográfico.",http://spij.minjus.gob.pe/CLP/contenidos.dll/CLPlegcargen/coleccion00000.htm/tomo00433.htm/a%C3%B1o410593.htm/mes428970.htm/dia431003.htm/sector431004.htm/sumilla431005.htm,2014-10-25,NO,,SI,,NO,NO,SI,NO,NO,NO,NO,SI,SI,Promueve,Derechos de los niños,,,,,,,
Argentina,2013,26892,,"Establece las bases para la promoción, intervención institucional y la investigación y recopilación de experiencias sobre la convivencia aSI como sobre el abordaje de la conflictividad social en las instituciones educativas de todos los niveles y modalidades del sistema educativo nacional.",http://servicios.infoleg.gob.ar/infolegInternet/anexos/220000-224999/220645/norma.htm,2013-09-11,NO,,SI,,NO,NO,NO,NO,NO,NO,NO,NO,SI,Promueve,"Discriminación, violencia y discursos de odio",,,,,Igualdad y no discriminación,,
Argentina,2013,26904,,"Será penado con prisión de seis (6) meses a cuatro (4) años el que, por medio de comunicaciones electrónicas, telecomunicaciones o cualquier otra tecnología de transmisión de datos, contactare a una persona menor de edad, con el propósito de cometer cualquier delito contra la integridad sexual de la misma",http://servicios.infoleg.gob.ar/infolegInternet/anexos/220000-224999/223586/norma.htm,2013-11-13,SI,,SI,,SI,NO,NO,NO,SI,SI,SI,NO,NO,Limita,Derechos de los niños,NO,SI,SI,NO,,,
Argentina,2013,26911,,Modifícase el artículo 73 del Régimen de Contrato de Trabajo.,http://servicios.infoleg.gob.ar/infolegInternet/anexos/220000-224999/223339/norma.htm,2013-11-13,SI,,SI,,NO,NO,NO,NO,NO,NO,NO,NO,SI,Promueve,Libertad de Expresión y Derechos políticos,,,,,Libertad de expresión,,
Brasil,2013,12.921/2013,Ley,"Proíbe a fabricação, a comercialização, a distribuição e a propaganda de produtos nacionais e importados, de qualquer natureza, bem como embalagens, destinados ao público infantojuvenil, reproduzindo a forma de cigarros e similares",https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2013/lei/l12921.htm,2013-12-26,NO,,SI,,NO,NO,SI,NO,SI,NO,NO,NO,SI,Limita,Derechos de los niños,SI,SI,SI,SI,Vida y salud,,
Colombia,2013,1618,Ley estatutaria,ESTABLECE DISPOSICIONES PARA GARANTIZAR EL PLENO EJERCICIO DE DERECHOS DE LAS PERSONAS CON DISCAPACIDAD. LOS ARTÍCULOS 16 Y 17 ESTABLECEN MEDIDAS PARA GARANTIZARLES EL DERECHO A LA INFORMACIÓN Y LAS COMUNICACIONES Y A LA CULTURA.,http://www.secretariasenado.gov.co/senado/basedoc/ley_1618_2013.html,2013-02-27,NO,,SI,,NO,NO,NO,NO,NO,SI,NO,NO,,Promueve,"Discriminación, violencia y discursos de odio",,,,,Igualdad y no discriminación,,
Colombia,2013,1621,Ley estatutaria,"REGULA LAS ACTIVIDADES DE INTELIGENCIA Y CONTRAINTELIGENCIA. LA LEY ESTABLECE LA RESERVA DE LOS DOCUMENTOS, INFORMACIÓN Y ELEMENTOS TÉCNICOS DE INTELIGENCIA Y CONTRAINTELIGENCIA.",http://www.secretariasenado.gov.co/senado/basedoc/ley_1621_2013.html,2013-04-17,SI,LEY 5 DE 1992,SI,,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Seguridad Nacional,SI,SI,SI,SI,,,
Colombia,2013,1621,Ley estatutaria,REGULA LAS ACTIVIDADES DE INTELIGENCIA Y CONTRAINTELIGENCIA. EL ARTÍCULO 39 ESTABLECE LA EXCEPCIÓN AL DEBER DE RESERVA EN LOS CASOS EN LOS QUE SE HAGAN DENUNCIAS RELACIONADASCON LA COMISIÓN DE DELITOS.,http://www.secretariasenado.gov.co/senado/basedoc/ley_1621_2013.html,2013-04-17,SI,LEY 5 DE 1992,SI,,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Seguridad Nacional,SI,SI,SI,SI,,,
Ecuador,2013,Ley Orgánica de Comunicación,Ley orgánica,"Se analiza: [1] Arts. 5, 55 (ss): Creación de la SUPERCOM y no distinción del alcance de los medios de comunicación social que regula; [2] Arts. 26 y 10.4.j: ""Linchamiento meáditico""; [3] Arts. 22, 10.3.a, 56: Condicionamientos previos de la información; [4] Derecho de rectificación verificable por la SUPERCOM; [5] Art. 30: Información reservada por el Estado.",http://www.asambleanacional.gob.ec/es/system/files/ley_organica_comunicacion.pdf,2013-06-25,SI,,SI,2016-12-30,NO,NO,SI,NO,SI,SI,SI,SI,NO,Limita,Honor y reputación,SI,NO,NO,NO,,,
Paraguay,2013,4989,Ley ordinaria,"LA PRESENTE LEY DETERMINA EL MARCO GENERAL PARA LA FORMULACIÓN DE LAS POLÍTICAS PÚBLICAS QUE REGIRÁN EL SECTOR DE LAS TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIÓN, SU ORDENAMIENTO GENERAL Y LA PROTECCIÓN AL USUARIO, ASÍ COMO LO CONCERNIENTE A LA COBERTURA CALIDAD DEL SERVICIO Y LA PROMOCIÓN Y DESARROLLO DE ESTAS TECNOLOGÍAS Y EL USO EFICIENTE DE LAS REDES INFORMÁTICAS",http://silpy.congreso.gov.py/descarga/ley-135611,2013-06-19,NO,,SI,,,,,,,SI,NO,NO,,Promueve,Acceso a la información,SI,SI,SI,SI,,,
Perú,2013,Ley No. 29988,,"Establece la separación e inhabilitación del personal docente y administrativo de instituciones educativas públicas y privadas, sentenciado por delitos de terrorismo, apología del terrorismo, delitos de violación de la libertad sexual y delitos de tráfico ilícito de drogas. También creó un Registro para quienes habían sido condenados o procesados por dichos delitos",http://spij.minjus.gob.pe/CLP/contenidos.dll/CLPlegcargen/coleccion00000.htm/tomo00433.htm/a%C3%B1o387761.htm/mes387762.htm/dia388867.htm/sector388868.htm/sumilla388871.htm,2013-01-18,SI,,SI,19/08/2013 09/07/2014,NO,NO,SI,NO,SI,NO,NO,NO,SI,Limita,Seguridad nacional,SI,SI,SI,SI,,,
Perú,2013,Ley No. 30068,,"Incorpora al Código Penal el tipo especial del feminicidio (artículo 108-B), entendido como el asesinato a una mujer por su condición de tal, es decir, como una manifestación de la violencia de género",http://spij.minjus.gob.pe/CLP/contenidos.dll/CLPlegcargen/coleccion00000.htm/tomo00433.htm/a%C3%B1o387761.htm/mes399136.htm/dia400128.htm/sector400129.htm,2013-07-17,SI,,SI,19/08/2013 07/05/2015 06/01/2017,NO,NO,NO,NO,NO,NO,NO,NO,SI,Limita,"Discriminación, violencia y discursos de odio",,,,,Violencia de Género,,
Perú,2013,Ley No. 30076,,"Crea un nuevo delito denominado de “grave perturbación de la tranquilidad pública” en el artículo 315-A del Código Penal, que sanciona la difusión por ""medios de comunicación social o de cualquier otro por el cual pueda difundirse masivamente la noticia, la inminente realización de un hecho o situación falsa o inexistente, relacionado con un daño o potencial daño a la vida e integridad de las personas o de bienes públicos o privados"".",http://spij.minjus.gob.pe/CLP/contenidos.dll/CLPlegcargen/coleccion00000.htm/tomo00433.htm/a%C3%B1o387761.htm/mes400865.htm/dia401947.htm/sector401948.htm/sumilla401949.htm,2013-08-19,SI,,SI,,SI,NO,NO,NO,SI,NO,NO,NO,,Limita,Moral Pública,SI,NO,SI,NO,,,
Perú,2013,Ley No. 30077,,"Ley contra el crimen organizado que establece medidas de intervención de comunicaciones e impuso un deber de confidencialidad a las personas naturales y jurídicas del sector privado que estén colaborando con la entrega de información, cuando esta les sea requerida.",http://spij.minjus.gob.pe/CLP/contenidos.dll/CLPlegcargen/coleccion00000.htm/tomo00433.htm/a%C3%B1o387761.htm/mes400865.htm/dia401963.htm/sector401964.htm/sumilla401965.htm,2013-08-20,SI,,SI,22/10/2013 20/12/2013 06/11/2014 27/07/2015 26/09/2015 29/10/2016 30/12/2016 07/01/2017,SI,NO,SI,NO,SI,NO,NO,NO,,Limita,Gobierno Digital,SI,SI,SI,SI,Administración de justicia,,
Perú,2013,Ley No. 30096,,"Añade un nuevo agravante al tipo penal de la discriminación, cuando esta “se realiza a través de las tecnologías de la información o de la comunicación”.",http://spij.minjus.gob.pe/CLP/contenidos.dll/CLPlegcargen/coleccion00000.htm/tomo00433.htm/a%C3%B1o387761.htm/mes404595.htm/dia405879.htm/sector405880.htm/sumilla405881.htm,2013-10-22,SI,,SI,10/03/2014 06/11/2014 23/09/2015 30/12/2016,SI,NO,NO,NO,SI,SI,SI,NO,,Limita,Ciberseguridad,SI,NO,NO,NO,Delitos informáticos,,
Brasil,2012,12.737/2012,Ley,"Dispõe sobre a tipificação criminal de delitos informáticos; altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal. Conhecida como ""Carolina Dieckman"", foi proposta em referência e diante de situação específica experimentada pela atriz brasileira de mesmo nome.",http://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/lei/l12737.htm,2012-11-30,SI,Código Penal (DECRETO-LEI Nº 2.848) e Lei Maria da Penha (Lei nº 11.340/2006),SI,,SI,NO,SI,NO,SI,SI,NO,NO,SI,Limita,Privacidad y Derechos ARCO,SI,SI,SI,SI,Privacidad,,
Chile,2012,Ley Nº20.609,Mensaje,"Esta ley tiene por objetivo fundamental instaurar un mecanismo judicial que permita restablecer eficazmente el imperio del derecho toda vez que se cometa un acto de discriminación arbitraria. Corresponderá a cada uno de los órganos de la Administración del Estado, dentro del ámbito de su competencia, elaborar e implementar las políticas destinadas a garantizar a toda persona, sin discriminación arbitraria, el goce y ejercicio de sus derechos y libertades reconocidos por la Constitución Política de la República, las leyes y los tratados internacionales ratificados por Chile y que se encuentren vigentes",https://www.leychile.cl/Navegar?idNorma=1042092&buscar=antidiscriminacion,2012-12-07,SI,"Código Penal, Estatuto Administrativo funcionarios municipales",SI,,NO,NO,SI,NO,SI,NO,NO,NO,SI,Limita,"Discriminación, violencia y discursos de odio",SI,SI,SI,SI,Igualdad y no discriminación,,
Colombia,2012,1519,Ley ordinaria,APRUEBA EL CONVENIO SOBRE LA DISTRIBUCIÓN DE SEÑALES PORTADORAS DE PROGRAMAS TRANSMITIDAS POR SATÉLITE.,http://www.secretariasenado.gov.co/senado/basedoc/ley_1519_2012.html,2012-04-13,NO,,SI,,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Propiedad Intelectual,SI,SI,SI,SI,Derechos de autor,,
Colombia,2012,1520,Ley ordinaria,"IMPLEMENTA COMPROMISOS ADQUIRIDOS EN EL TRATADO DE LIBRE COMERCIO CON ESTADOS UNIDOS EN MATERIA DE DERECHOS DE AUTOR. LA LEY MODIFICA EL ARTÍCULO 12 DE LA LEY DE DERECHOS DE AUTOR (LEY 23 DE 1982), AMPLIANDO LAS ATRIBUCIONES DE LOS AUTORES PARA PROHIBIR EL USO DE MATERIAL PROTEGIDO POR DERECHOS DE AUTOR. CON LA LEY 23 DE 1982 LOS AUTORES PODÍAN PROHIBIR LA REPRODUCCIÓN, TRADUCCIÓN, ADAPTACIÓN O TRANSFORMACIÓN DE LA OBRA ASÍ COMO SU COMUNICACIÓN AL PÚBLICO POR CUALQUIER MEDIO. CON LA REFORMA, ADEMÁS SE LOS FACULTA PARA PROHIBIR EL ALMACENAMIENTO TEMPORAL EN FORMA ELECTRÓNICA, LA VENTA O TRANSFERENCIA DE LA PROPIEDAD, LA IMPORTACIÓN DE COPIAS, LA TRANSMISIÓN POR MEDIOS ELECTRÓNICOS Y EL ALQUILER COMERCIAL AL PÚBLICO. DE MANERA SIMILAR MODIFICA LOS ARTÍCULOS 166 Y 172DE LA LEY DE DERECHOS DE AUTOR, AMPLIANDO LAS ATRIBUCIONES DE INTÉRPRETES, EJECUTANTES Y PRODUCTORES.",http://www.secretariasenado.gov.co/senado/basedoc/ley_1520_2012.html,2012-04-13,SI,LEY 23 DE 1982,NO,2013-01-23,NO,NO,NO,NO,SI,SI,NO,NO,NO,Limita,Propiedad Intelectual,SI,SI,NO,NO,Derechos de autor,,"LA ACTUAL LEGISLACIÓN DE DERECHOS DE AUTOR AÚN NO PREVÉE TODOS LOS ESCENARIOS DE EXCEPCIONES Y LIMITACIONES LEGÍTIMAS A LOS DERECHOS DE AUTOR PARA EL EJERCICIO JUSTO DE LA LIBERTAD DE EXPRESIÓN. EN CONSECUENCIA, LAS PROHIBICIONES ESTABLECIDAS EN ESTE ARTÍCULO SON DESPROPORCIONADAS."
Colombia,2012,1581,Ley estatutaria,"DICTA DISPOSICIONES GENERALES PARA LA PROTECCIÓN DE LOS DATOS PERSONALES. LA LEY ESTABLECE EL PRINCIPIO DE ACCESO Y CIRCULACIÓN RESTRINGIDA DE DATOS PERSONALES. SIN EMBARGO, TAMBIÉN SE ESTABLECE UNA EXCEPCIÓN DE LA APLICACIÓN DE LA LEY A LAS BASES DE DATOS Y ARCHIVOS DE INFORMACIÓN PERIODÍSTICA Y OTROS CONTENIDOS EDITORIALES.",http://www.secretariasenado.gov.co/senado/basedoc/ley_1581_2012.html,2012-10-17,NO,,SI,,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Privacidad y Derechos ARCO,SI,SI,SI,SI,Datos personales,,
México,2012,LFDA,Artículos específicos,Reproducción no autorizada de material,http://dof.gob.mx/nota_detalle.php?codigo=5231374&fecha=27/01/2012,2012-01-27,NO,,SI,,SI,NO,SI,NO,NO,NO,NO,NO,NO,Limita,Honor y reputación,SI,SI,SI,SI,,,
México,2012,Ley de Imprenta,,"tipificar tres clases de delitos. En primer lugar, se encuentran los ataques a la vida privada, entendidos, entre otras cosas, como “Toda manifestación o expresión maliciosa hecha verbalmente o por señales, en presencia de una o más personas, o por medio de manuscrito, o de la imprenta, del dibujo, litografía, fotografía o de cualquiera otra manera que expuesta o circulando en público, o transmitida por correo, telégrafo, teléfono, radiotelegrafía o por mensaje, o de cualquier otro modo, exponga a una persona al odio, desprecio o ridículo, o pueda causarle demérito en su reputación o en sus intereses”. Ataques a la paz pública y a la moral.",http://www.diputados.gob.mx/LeyesBiblio/ref/ldi/LDI_orig_12abr17_ima.pdf,2012-01-31,SI,,SI,Derogación del 1o y 31 enero de 2012,SI,NO,SI,NO,SI,NO,NO,NO,NO,Promueve,Honor y reputación,SI,SI,SI,SI,,,
